ch 1: '-0.002815' 	 ch 2: '-0.002360' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002812' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002809' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002812' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002819' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002812' 	 ch 2: '-0.002360' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002812' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002808' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002816' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002817' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002814' 	 ch 2: '-0.002360' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002816' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002360' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002812' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002809' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002816' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002818' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002817' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002808' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002818' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002360' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002816' 	 ch 2: '-0.002358' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002358' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002809' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
